"rbr","name","date","stars","review","lang","thumb","reply"
5,"N Mac",2020-06-07,4," Takes some getting used to. Little guidance for finding & using good features, so play with it before needing to use. Swipe L or R on the Start panel changes the routes. Swipe start panel up to change display options and to recall recently entered routes. I prefered the UK voice with street names, u...Full ReviewTakes some getting used to. Little guidance for finding & using good features, so play with it before needing to use. Swipe L or R on the Start panel changes the routes. Swipe start panel up to change display options and to recall recently entered routes. I prefered the UK voice with street names, until she adopted a U.S. accent instead. What happened with that? Just updated it.. but still has the ""UK"" lady's voice who has obviously lived most of her life in the USA.","en",65,NA
6,"Math Sv",2020-05-24,5," Best car navigation for drivers. It has some traffic info. Simple interface and not so many options to customize or broke the app. It just works and thats ok. Maybe devs can add some ""testing"" ot ""labs"" tab for testing features? Other than that it is an awesome navigation app! Keep up the good work ...Full ReviewBest car navigation for drivers. It has some traffic info. Simple interface and not so many options to customize or broke the app. It just works and thats ok. Maybe devs can add some ""testing"" ot ""labs"" tab for testing features? Other than that it is an awesome navigation app! Keep up the good work devs!","en",28,NA
7,"Maria Manolesaki",2020-06-04,2," The app was referred by a friend using it at work, so I thought I'd give it a go. Installation was fast and didn't take up much space, however, from a functional point of view, it didn't quite match what I had in mind. Yes, the street numbers are marked along the whole length of a road and the stree...Full ReviewThe app was referred by a friend using it at work, so I thought I'd give it a go. Installation was fast and didn't take up much space, however, from a functional point of view, it didn't quite match what I had in mind. Yes, the street numbers are marked along the whole length of a road and the street names are brought closer to the junctions, which might come in handy for delivery service (friend's work) BUT it failed to find my location multiple times or located me as several blocks away.","en",9,NA
8,"Chris Lavender",2020-06-04,2," This app looks the part - clean interface and simple to use. Driving mode seems clear and usable BUT It's navigation is very very poor for walking and cycling, as its not able to use pathways and ONLY roads. Car navigation is fine, although very over simplified and ends up using busier roads as a re...Full ReviewThis app looks the part - clean interface and simple to use. Driving mode seems clear and usable BUT It's navigation is very very poor for walking and cycling, as its not able to use pathways and ONLY roads. Car navigation is fine, although very over simplified and ends up using busier roads as a result.","en",3,NA
9,"Neeru Puma",2020-05-19,4," It's almost perfect navigation app. Please make collections directly visible on the map as it was in windows phones. Gating around needs to be further improved. ""Please provide a voice assistant to operate this."" . Thank you team here We go.","en",25,NA
10,"WakingCobain",2020-05-26,4," Mostly works well and gets me from A to B without a problem. Sometimes I feel like it could advise you better or show you a way sooner. I've made countless turns later or sooner than I was supposed to so... Idk if it's the apps fault. Mostly but it's perfect.","en",5,NA
11,"Reatha Kenny",2020-06-04,1," Was a great app until the getting around section stopped working and telling me there was no information available. Have tried uninstal and reinstalled with no luck. Very disappointed I was preferring this app to Google maps until then.","en",1,NA
12,"Strahinja Stupar",2020-06-01,2," Using without Internet is impossible. Even though I have downloaded all the maps that I need, it messes up the routes. Fix that, it worked perfectly a while ago.","en",3,NA
13,"Nats",2020-05-23,2," It was a brilliant app and had used it for over two years but in the last two weeks it has stopped working. The GPS looses signal and renders it useless! Sad that I will be uninstalling this app.","en",8,NA
14,"Mason Alexander",2020-06-01,1," Navigation doesn't work anymore. Makes me wonder if the company got bought by lyft. When I search for routes nothing shows up except lyft routes. When I turn off this in settings , nothing comes up. Terrible app. Too bad.","en",3,NA
