"month_cut","stars","year","month","app"
2018-07-01,3.98703703703704,2018,7,"3"
2018-08-01,3.48908045977011,2018,8,"3"
2018-09-01,2.9875,2018,9,"3"
2018-10-01,3.72463768115942,2018,10,"3"
2018-11-01,4.04242424242424,2018,11,"3"
2018-12-01,3.88771929824561,2018,12,"3"
2019-01-01,3.58666666666667,2019,1,"3"
2019-02-01,3.27528459195126,2019,2,"3"
2019-03-01,3.1836661546339,2019,3,"3"
2019-04-01,3.49484126984127,2019,4,"3"
2019-05-01,3.24365079365079,2019,5,"3"
2019-06-01,2.92249589490969,2019,6,"3"
2019-07-01,3.2978354978355,2019,7,"3"
2019-08-01,3.4177488282327,2019,8,"3"
2019-09-01,3.12380952380952,2019,9,"3"
2019-10-01,3.63724747474747,2019,10,"3"
2019-11-01,3.09259259259259,2019,11,"3"
2019-12-01,3.36150793650794,2019,12,"3"
2020-01-01,3.51055555555556,2020,1,"3"
2020-02-01,3.33775510204082,2020,2,"3"
2020-03-01,3.32916666666667,2020,3,"3"
2020-04-01,3.37579365079365,2020,4,"3"
2020-05-01,3.01794871794872,2020,5,"3"
2020-06-01,3.45238095238095,2020,6,"3"
2016-06-01,3.35897435897436,2016,6,"4"
2016-07-01,3.16025641025641,2016,7,"4"
2016-08-01,3.14102564102564,2016,8,"4"
2016-09-01,3.21180555555556,2016,9,"4"
2016-10-01,3.79679487179487,2016,10,"4"
2016-11-01,3.85714285714286,2016,11,"4"
2016-12-01,3.20833333333333,2016,12,"4"
2017-01-01,3.44117647058824,2017,1,"4"
2017-02-01,3.58333333333333,2017,2,"4"
2017-03-01,3.48333333333333,2017,3,"4"
2017-04-01,3.05555555555556,2017,4,"4"
2017-05-01,3.46274509803922,2017,5,"4"
2017-06-01,2.776,2017,6,"4"
2017-07-01,2.31159420289855,2017,7,"4"
2017-08-01,2.34294871794872,2017,8,"4"
2017-09-01,2.24074074074074,2017,9,"4"
2017-10-01,2.08823529411765,2017,10,"4"
2017-11-01,2.36979166666667,2017,11,"4"
2017-12-01,2.99444444444444,2017,12,"4"
2018-01-01,3.02222222222222,2018,1,"4"
2018-02-01,2.77777777777778,2018,2,"4"
2018-03-01,2.61538461538462,2018,3,"4"
2018-04-01,3,2018,4,"4"
2018-05-01,3.4375,2018,5,"4"
2018-06-01,3,2018,6,"4"
2018-07-01,2.44117647058824,2018,7,"4"
2018-08-01,3.36666666666667,2018,8,"4"
2018-09-01,2.92857142857143,2018,9,"4"
2018-10-01,4,2018,10,"4"
2018-11-01,3.54545454545455,2018,11,"4"
2018-12-01,1.57142857142857,2018,12,"4"
2019-01-01,2.23076923076923,2019,1,"4"
2019-02-01,3.01851851851852,2019,2,"4"
2019-03-01,2.38888888888889,2019,3,"4"
2019-04-01,2.14285714285714,2019,4,"4"
2019-05-01,2.875,2019,5,"4"
2019-06-01,2.85416666666667,2019,6,"4"
2019-07-01,2.78888888888889,2019,7,"4"
2019-08-01,2.875,2019,8,"4"
2019-09-01,2.66666666666667,2019,9,"4"
2019-10-01,2.81818181818182,2019,10,"4"
2019-11-01,4.16666666666667,2019,11,"4"
2019-12-01,1,2019,12,"4"
2020-01-01,2.6,2020,1,"4"
2020-02-01,3.14285714285714,2020,2,"4"
2020-03-01,3,2020,3,"4"
2020-04-01,2.46666666666667,2020,4,"4"
2020-05-01,2.80952380952381,2020,5,"4"
2020-06-01,3,2020,6,"4"
2016-06-01,4.3495285120475,2016,6,"5"
2016-07-01,4.41591324146481,2016,7,"5"
2016-08-01,4.38128185569716,2016,8,"5"
2016-09-01,4.49129003992838,2016,9,"5"
2016-10-01,4.3877788236704,2016,10,"5"
2016-11-01,4.51155240067288,2016,11,"5"
2016-12-01,4.38209521487587,2016,12,"5"
2017-01-01,4.4585892449352,2017,1,"5"
2017-02-01,4.38986087497801,2017,2,"5"
2017-03-01,4.38449048733337,2017,3,"5"
2017-04-01,4.43328742613326,2017,4,"5"
2017-05-01,4.23213265811488,2017,5,"5"
2017-06-01,4.2676941754254,2017,6,"5"
2017-07-01,4.3416871213628,2017,7,"5"
2017-08-01,4.39396044253378,2017,8,"5"
2017-09-01,4.43244148153883,2017,9,"5"
2017-10-01,4.41779536867748,2017,10,"5"
2017-11-01,4.28408941743509,2017,11,"5"
2017-12-01,4.22833157055266,2017,12,"5"
2018-01-01,4.33069608425228,2018,1,"5"
2018-02-01,4.33885588617731,2018,2,"5"
2018-03-01,4.23863610520332,2018,3,"5"
2018-04-01,4.29248476472027,2018,4,"5"
2018-05-01,4.25396582649903,2018,5,"5"
2018-06-01,4.29092725858593,2018,6,"5"
2018-07-01,4.36358029761279,2018,7,"5"
2018-08-01,4.1896086533874,2018,8,"5"
2018-09-01,4.3753576268469,2018,9,"5"
2018-10-01,4.29336751115214,2018,10,"5"
2018-11-01,4.4703714738707,2018,11,"5"
2018-12-01,4.25449930527173,2018,12,"5"
2019-01-01,4.13457204435433,2019,1,"5"
2019-02-01,4.40818585237735,2019,2,"5"
2019-03-01,4.49806074618057,2019,3,"5"
2019-04-01,4.33520423853832,2019,4,"5"
2019-05-01,4.44712296277761,2019,5,"5"
2019-06-01,4.40455019155382,2019,6,"5"
2019-07-01,4.28263549947606,2019,7,"5"
2019-08-01,4.41684571872666,2019,8,"5"
2019-09-01,4.46563868304713,2019,9,"5"
2019-10-01,4.31503946464278,2019,10,"5"
2019-11-01,3.95581341276542,2019,11,"5"
2019-12-01,4.09453642214385,2019,12,"5"
2020-01-01,4.26500188677045,2020,1,"5"
2020-02-01,4.05219136874619,2020,2,"5"
2020-03-01,4.12305837765165,2020,3,"5"
2020-04-01,3.98427674177674,2020,4,"5"
2020-05-01,4.01547236497426,2020,5,"5"
2020-06-01,3.96330316742081,2020,6,"5"
2016-06-01,4.432241516671,2016,6,"6"
2016-07-01,4.49176003690731,2016,7,"6"
2016-08-01,4.43364127631759,2016,8,"6"
2016-09-01,4.54172562197066,2016,9,"6"
2016-10-01,4.5926652856816,2016,10,"6"
2016-11-01,4.48595495654377,2016,11,"6"
2016-12-01,4.51604132456785,2016,12,"6"
2017-01-01,4.53443067779486,2017,1,"6"
2017-02-01,4.63075475506324,2017,2,"6"
2017-03-01,4.52633597008867,2017,3,"6"
2017-04-01,4.4776950294908,2017,4,"6"
2017-05-01,4.47332286546313,2017,5,"6"
2017-06-01,4.54258628117892,2017,6,"6"
2017-07-01,4.64749625327178,2017,7,"6"
2017-08-01,4.48334861688478,2017,8,"6"
2017-09-01,4.60640204270921,2017,9,"6"
2017-10-01,4.59364756404373,2017,10,"6"
2017-11-01,4.6379147508647,2017,11,"6"
2017-12-01,4.57509891582401,2017,12,"6"
2018-01-01,4.59274671578731,2018,1,"6"
2018-02-01,4.59195151490977,2018,2,"6"
2018-03-01,4.55772605282014,2018,3,"6"
2018-04-01,4.4117963980464,2018,4,"6"
2018-05-01,4.6500133404293,2018,5,"6"
2018-06-01,4.52824862472391,2018,6,"6"
2018-07-01,4.56204812350242,2018,7,"6"
2018-08-01,4.33023732013296,2018,8,"6"
