"week_cut","pred","year","week","low","high","app"
2020-06-15,3.13129776462482,2020,24,0.503318011920409,7.05725287619548,"1"
2020-06-22,3.08198955131662,2020,25,0.239833410215631,7.6998866034906,"1"
2020-06-29,3.52684414648772,2020,26,0.145119835051371,8.52221459903717,"1"
2020-07-06,2.25998739223127,2020,27,0.0479997350347562,7.37059154513017,"1"
2020-07-13,3.47728915326508,2020,28,0.129251156379522,7.38441222164087,"1"
2020-07-20,3.74696458520401,2020,29,0.123629123291126,8.01484462866036,"1"
2020-07-27,2.68397949847046,2020,30,0.11994217094035,6.6384109436987,"1"
2020-08-03,2.61064174649187,2020,31,0,7.65525757173165,"1"
2020-08-10,3.01077344933108,2020,32,0.128195888273826,8.09893197429626,"1"
2020-08-17,3.01236917947472,2020,33,0,8.19038344682676,"1"
2020-08-24,3.05487002693971,2020,34,0.251697227214972,7.53979347212673,"1"
2020-08-31,2.70614456449128,2020,35,0,7.29136847228517,"1"
2020-09-07,1.6402874782812,2020,36,0,6.98881611101132,"1"
2020-09-14,2.27916170151038,2020,37,0,7.25151153363048,"1"
2020-09-21,1.7572443520512,2020,38,0.0991558075853476,7.32625849842891,"1"
2020-09-28,2.28526413067375,2020,39,0.039160101881434,6.50942907230116,"1"
2020-10-05,1.96205211531126,2020,40,0,7.96250489967267,"1"
2020-10-12,1.93280859068183,2020,41,0,7.59845758834627,"1"
2020-10-19,2.37052871134965,2020,42,0,8.17721737970054,"1"
2020-10-26,2.26010738445919,2020,43,0,7.273641238981,"1"
2020-11-02,1.87093459707438,2020,44,0,7.96865806980146,"1"
2020-11-09,2.34142600995753,2020,45,0.0873858945876404,7.52329630060277,"1"
2020-11-16,2.37427116700723,2020,46,0,7.67781500002856,"1"
2020-11-23,2.23066381256176,2020,47,0,7.12858863647843,"1"
2020-11-30,2.29679533194506,2020,48,0,8.56415427070706,"1"
2020-12-07,2.69649291214135,2020,49,0,9.03782054418845,"1"
2020-12-14,2.17850123662684,2020,50,0,7.37532129263547,"1"
2020-12-21,1.97298557011874,2020,51,0,8.31539882910812,"1"
2020-12-28,2.09098018924528,2020,52,0,8.10339326225135,"1"
2021-01-04,2.49407004081949,2021,1,0,7.74776452111831,"1"
2021-01-11,2.57474515421573,2021,2,0.0227124829225069,8.4302834644652,"1"
2021-01-18,1.75900050653122,2021,3,0,6.70236743051839,"1"
2021-01-25,1.53846346280234,2021,4,0,7.96061975598383,"1"
2021-02-01,2.40964975180861,2021,5,0,9.05775979406671,"1"
2021-02-08,2.0545776062524,2021,6,0,8.51693871006559,"1"
2021-02-15,1.89002469781526,2021,7,0,7.87202999221542,"1"
2021-02-22,1.86434974548283,2021,8,0,7.58310696595216,"1"
2021-03-01,1.84206593403201,2021,9,0.0395831843348682,6.77041030559813,"1"
2021-03-08,1.8621589358837,2021,10,0,7.34070417724279,"1"
2021-03-15,2.26638740437027,2021,11,0,7.08471303645908,"1"
2021-03-22,2.49738026551498,2021,12,0,7.61081993129786,"1"
2021-03-29,1.18376768458624,2021,13,0,6.87864313884321,"1"
2021-04-05,2.37578188547463,2021,14,0,7.87026714125876,"1"
2021-04-12,1.58124895419904,2021,15,0,7.31772596757818,"1"
2021-04-19,1.26955858897304,2021,16,0,7.4337124682833,"1"
2021-04-26,2.17017764094936,2021,17,0,7.69896495853188,"1"
2021-05-03,2.00813700349569,2021,18,0,6.992785814221,"1"
2021-05-10,2.31362773877694,2021,19,0,7.81748843208274,"1"
2021-05-17,1.51271032299992,2021,20,0,7.16609137128769,"1"
2021-05-24,2.44110397662386,2021,21,0.00353930695489146,7.69588019869661,"1"
2021-05-31,1.86219222846807,2021,22,0,7.58261990810884,"1"
2021-06-07,2.70862812838379,2021,23,0,8.69129242771702,"1"
2021-06-14,0.680855780921566,2021,24,0,2.40389598308936,"1"
2020-06-15,34.8380965751951,2020,24,16.0919138861557,55.4219569927516,"2"
2020-06-22,42.4500781745569,2020,25,22.0884661894425,64.7673079678432,"2"
2020-06-29,42.0520073516929,2020,26,15.8234695459883,64.712468036401,"2"
2020-07-06,35.1285697969626,2020,27,13.5925247554941,60.220623466784,"2"
2020-07-13,42.0120292737897,2020,28,13.1632661890601,66.9227114637737,"2"
2020-07-20,42.7398476244494,2020,29,12.6483773850583,65.6239625072906,"2"
2020-07-27,36.7413199031286,2020,30,17.0118432488516,56.3601690915618,"2"
2020-08-03,35.8642229207464,2020,31,9.46321532391387,63.9667974316953,"2"
2020-08-10,35.8149571518404,2020,32,7.96954974349373,62.2656325463387,"2"
2020-08-17,38.7046611695126,2020,33,11.9849237781993,70.7215788785262,"2"
2020-08-24,39.5053945674477,2020,34,13.6410391796162,67.6036762304135,"2"
2020-08-31,37.1734825092211,2020,35,7.21551522883284,63.8238864181064,"2"
2020-09-07,28.227813036669,2020,36,7.89528048038579,56.3956332305523,"2"
2020-09-14,31.3159571736927,2020,37,10.8602263244066,59.0984253363434,"2"
2020-09-21,28.1313054387876,2020,38,3.94065848510768,56.1751562263507,"2"
2020-09-28,27.9402730716552,2020,39,5.44719506271448,52.5610191220759,"2"
2020-10-05,25.5495363949098,2020,40,0.0386014095141474,57.8603294916911,"2"
2020-10-12,27.3070918093241,2020,41,2.42376529475962,61.6893439583575,"2"
2020-10-19,28.8241863413912,2020,42,3.97661344170016,61.0242100237473,"2"
2020-10-26,28.4870597518788,2020,43,2.41659206054262,63.0177467683419,"2"
2020-11-02,26.4044995098531,2020,44,1.12325596054789,65.9282073427437,"2"
2020-11-09,29.5704290568589,2020,45,2.62711317774204,58.6328906631795,"2"
