"Week","n","pct","app"
1,9,3.24909747292419,"1"
2,12,4.33212996389892,"1"
3,2,0.72202166064982,"1"
4,5,1.80505415162455,"1"
5,1,0.36101083032491,"1"
6,4,1.44404332129964,"1"
7,3,1.08303249097473,"1"
8,5,1.80505415162455,"1"
9,6,2.16606498194946,"1"
10,4,1.44404332129964,"1"
11,5,1.80505415162455,"1"
12,5,1.80505415162455,"1"
13,6,2.16606498194946,"1"
14,2,0.72202166064982,"1"
15,4,1.44404332129964,"1"
16,7,2.52707581227437,"1"
17,6,2.16606498194946,"1"
18,7,2.52707581227437,"1"
19,10,3.6101083032491,"1"
20,6,2.16606498194946,"1"
21,2,0.72202166064982,"1"
22,3,1.08303249097473,"1"
23,4,1.44404332129964,"1"
24,12,4.33212996389892,"1"
25,5,1.80505415162455,"1"
26,7,2.52707581227437,"1"
27,4,1.44404332129964,"1"
28,4,1.44404332129964,"1"
29,7,2.52707581227437,"1"
30,6,2.16606498194946,"1"
31,4,1.44404332129964,"1"
32,6,2.16606498194946,"1"
33,7,2.52707581227437,"1"
34,4,1.44404332129964,"1"
35,6,2.16606498194946,"1"
36,5,1.80505415162455,"1"
37,3,1.08303249097473,"1"
38,5,1.80505415162455,"1"
39,5,1.80505415162455,"1"
40,3,1.08303249097473,"1"
41,2,0.72202166064982,"1"
42,9,3.24909747292419,"1"
43,4,1.44404332129964,"1"
44,7,2.52707581227437,"1"
45,3,1.08303249097473,"1"
46,6,2.16606498194946,"1"
47,6,2.16606498194946,"1"
48,4,1.44404332129964,"1"
49,2,0.72202166064982,"1"
50,1,0.36101083032491,"1"
51,7,2.52707581227437,"1"
52,14,5.05415162454874,"1"
53,1,0.36101083032491,"1"
1,135,1.65745856353591,"2"
2,116,1.42418661755678,"2"
3,123,1.51012891344383,"2"
4,130,1.59607120933088,"2"
5,130,1.59607120933088,"2"
6,138,1.69429097605893,"2"
7,146,1.79251074278699,"2"
8,143,1.75567833026397,"2"
9,165,2.02578268876611,"2"
10,146,1.79251074278699,"2"
11,130,1.59607120933088,"2"
12,128,1.57151626764886,"2"
13,145,1.78023327194598,"2"
14,110,1.35052179251074,"2"
15,150,1.84162062615101,"2"
16,136,1.66973603437692,"2"
17,139,1.70656844689994,"2"
18,127,1.55923879680786,"2"
19,178,2.1853898096992,"2"
20,154,1.89073050951504,"2"
21,137,1.68201350521793,"2"
22,147,1.80478821362799,"2"
23,162,1.98895027624309,"2"
24,152,1.86617556783303,"2"
25,170,2.08717004297115,"2"
26,166,2.03806015960712,"2"
27,185,2.27133210558625,"2"
28,142,1.74340085942296,"2"
29,172,2.11172498465316,"2"
30,179,2.19766728054021,"2"
31,167,2.05033763044813,"2"
32,204,2.50460405156538,"2"
33,194,2.38182934315531,"2"
34,162,1.98895027624309,"2"
35,183,2.24677716390424,"2"
36,182,2.23449969306323,"2"
37,175,2.14855739717618,"2"
38,182,2.23449969306323,"2"
39,175,2.14855739717618,"2"
40,123,1.51012891344383,"2"
41,150,1.84162062615101,"2"
42,173,2.12400245549417,"2"
43,198,2.43093922651934,"2"
44,184,2.25905463474524,"2"
45,151,1.85389809699202,"2"
46,175,2.14855739717618,"2"
47,168,2.06261510128913,"2"
48,153,1.87845303867403,"2"
49,172,2.11172498465316,"2"
50,155,1.90300798035605,"2"
51,157,1.92756292203806,"2"
52,150,1.84162062615101,"2"
53,31,0.380601596071209,"2"
1,67,1.61992263056093,"3"
2,118,2.85299806576402,"3"
3,102,2.46615087040619,"3"
4,101,2.44197292069632,"3"
5,114,2.75628626692456,"3"
6,113,2.7321083172147,"3"
7,123,2.97388781431335,"3"
8,96,2.321083172147,"3"
9,85,2.05512572533849,"3"
10,95,2.29690522243714,"3"
11,77,1.86170212765957,"3"
12,65,1.5715667311412,"3"
13,71,1.71663442940039,"3"
14,82,1.9825918762089,"3"
15,75,1.81334622823985,"3"
16,83,2.00676982591876,"3"
17,77,1.86170212765957,"3"
18,82,1.9825918762089,"3"
19,59,1.42649903288201,"3"
20,89,2.15183752417795,"3"
21,68,1.64410058027079,"3"
22,74,1.78916827852998,"3"
23,70,1.69245647969052,"3"
24,89,2.15183752417795,"3"
25,82,1.9825918762089,"3"
26,76,1.83752417794971,"3"
27,65,1.5715667311412,"3"
28,82,1.9825918762089,"3"
29,64,1.54738878143133,"3"
30,99,2.3936170212766,"3"
31,98,2.36943907156673,"3"
32,101,2.44197292069632,"3"
33,106,2.56286266924565,"3"
34,94,2.27272727272727,"3"
35,92,2.22437137330754,"3"
36,83,2.00676982591876,"3"
37,56,1.35396518375242,"3"
38,75,1.81334622823985,"3"
39,77,1.86170212765957,"3"
40,70,1.69245647969052,"3"
41,80,1.93423597678917,"3"
42,48,1.1605415860735,"3"
43,61,1.47485493230174,"3"
44,61,1.47485493230174,"3"
45,56,1.35396518375242,"3"
46,54,1.30560928433269,"3"
47,61,1.47485493230174,"3"
48,39,0.94294003868472,"3"
49,72,1.74081237911025,"3"
50,61,1.47485493230174,"3"
51,76,1.83752417794971,"3"
52,61,1.47485493230174,"3"
53,11,0.265957446808511,"3"
1,12,1.14942528735632,"4"
2,19,1.81992337164751,"4"
3,15,1.4367816091954,"4"
4,16,1.53256704980843,"4"
5,11,1.0536398467433,"4"
6,17,1.62835249042146,"4"
7,11,1.0536398467433,"4"
8,13,1.24521072796935,"4"
9,12,1.14942528735632,"4"
10,11,1.0536398467433,"4"
11,19,1.81992337164751,"4"
12,15,1.4367816091954,"4"
13,12,1.14942528735632,"4"
14,16,1.53256704980843,"4"
15,6,0.574712643678161,"4"
