"day_cut","sentiment","year","day","app"
2018-12-20,0.17,2018,20,"1"
2018-12-23,0.75,2018,23,"1"
2018-12-24,0.6,2018,24,"1"
2018-12-26,0.46,2018,26,"1"
2018-12-27,0.28,2018,27,"1"
2018-12-28,0.35,2018,28,"1"
2018-12-30,1,2018,30,"1"
2019-01-02,-0.23,2019,2,"1"
2019-01-03,0.57,2019,3,"1"
2019-01-04,0.29,2019,4,"1"
2019-01-11,0.81,2019,11,"1"
2019-01-12,0.43,2019,12,"1"
2019-01-14,0,2019,14,"1"
2019-01-23,-0.02,2019,23,"1"
2019-01-26,-0.02,2019,26,"1"
2019-01-27,-0.13,2019,27,"1"
2019-02-16,0,2019,16,"1"
2019-02-23,0,2019,23,"1"
2019-02-28,0.94,2019,28,"1"
2019-03-10,0.78,2019,10,"1"
2019-03-11,0.45,2019,11,"1"
2019-03-14,-0.15,2019,14,"1"
2019-03-24,-0.09,2019,24,"1"
2019-03-28,0.89,2019,28,"1"
2019-03-30,0.71,2019,30,"1"
2019-04-01,0,2019,1,"1"
2019-04-07,0.75,2019,7,"1"
2019-04-10,0.34,2019,10,"1"
2019-04-21,-0.11,2019,21,"1"
2019-05-03,0.5,2019,3,"1"
2019-05-05,0,2019,5,"1"
2019-05-19,0.23,2019,19,"1"
2019-05-21,0,2019,21,"1"
2019-05-28,0,2019,28,"1"
2019-05-30,0.67,2019,30,"1"
2019-06-06,0.43,2019,6,"1"
2019-06-11,0.21,2019,11,"1"
2019-06-17,0.52,2019,17,"1"
2019-06-19,0.24,2019,19,"1"
2019-06-23,0.22,2019,23,"1"
2019-06-25,0.45,2019,25,"1"
2019-06-27,0.01,2019,27,"1"
2019-06-28,0.25,2019,28,"1"
2019-07-01,0.6,2019,1,"1"
2019-07-10,0.35,2019,10,"1"
2019-07-16,0.27,2019,16,"1"
2019-07-19,0.27,2019,19,"1"
2019-07-20,0.2,2019,20,"1"
2019-07-21,-0.38,2019,21,"1"
2019-07-24,0.18,2019,24,"1"
2019-07-29,0.12,2019,29,"1"
2019-08-02,0.66,2019,2,"1"
2019-08-04,-0.05,2019,4,"1"
2019-08-05,0.57,2019,5,"1"
2019-08-06,0.58,2019,6,"1"
2019-08-10,-0.06,2019,10,"1"
