"day","stars","app"
1,3.40540540540541,"1"
2,3.625,"1"
3,3.75675675675676,"1"
4,3.55128205128205,"1"
5,3.5,"1"
6,3.26923076923077,"1"
7,3.78787878787879,"1"
1,3.42553767699399,"2"
2,3.47726743434331,"2"
3,3.53444758493539,"2"
4,3.52344270593891,"2"
5,3.50701449305818,"2"
6,3.51310579638867,"2"
7,3.52160235317675,"2"
1,3.56341793127507,"3"
2,3.67186086725193,"3"
3,3.35550218254493,"3"
4,3.47078172723334,"3"
5,3.43932043458359,"3"
6,3.55119901503298,"3"
7,3.64359100637191,"3"
1,2.8020202020202,"4"
2,2.75656028368794,"4"
3,2.96611721611722,"4"
4,3.1203125,"4"
5,3.02747252747253,"4"
6,3.04416666666667,"4"
7,2.99909420289855,"4"
1,4.29119922100863,"5"
2,4.32545819540193,"5"
3,4.29408170665752,"5"
4,4.29670816394101,"5"
5,4.32074712170639,"5"
6,4.32170447148043,"5"
7,4.31898007950558,"5"
1,4.48336691165295,"6"
2,4.4734965803603,"6"
3,4.48042685499794,"6"
4,4.49380304011579,"6"
5,4.51245629920393,"6"
6,4.47509244898279,"6"
7,4.45329819240477,"6"
1,3.45357087590005,"7"
2,3.4242103801945,"7"
3,3.43051871250361,"7"
4,3.37194205436615,"7"
5,3.43771140546314,"7"
6,3.45807284954708,"7"
7,3.40366570193744,"7"
1,3.90933041956608,"8"
2,3.9539184910833,"8"
3,3.97666835772999,"8"
4,3.98428743909749,"8"
5,4.03834150969474,"8"
6,3.98209758196183,"8"
7,3.97442777701677,"8"
