"month_cut","Count","year","month","app"
2017-01-01,25,2017,1,"4"
2017-02-01,22,2017,2,"4"
2017-03-01,24,2017,3,"4"
2017-04-01,23,2017,4,"4"
2017-05-01,27,2017,5,"4"
2017-06-01,47,2017,6,"4"
2017-07-01,37,2017,7,"4"
2017-08-01,53,2017,8,"4"
2017-09-01,25,2017,9,"4"
2017-10-01,28,2017,10,"4"
2017-11-01,33,2017,11,"4"
2017-12-01,25,2017,12,"4"
2018-01-01,22,2018,1,"4"
2018-02-01,12,2018,2,"4"
2018-03-01,14,2018,3,"4"
2018-04-01,9,2018,4,"4"
2018-05-01,17,2018,5,"4"
2018-06-01,13,2018,6,"4"
2018-07-01,23,2018,7,"4"
2018-08-01,20,2018,8,"4"
2018-09-01,10,2018,9,"4"
2018-10-01,10,2018,10,"4"
2018-11-01,12,2018,11,"4"
2018-12-01,7,2018,12,"4"
2019-01-01,16,2019,1,"4"
2019-02-01,12,2019,2,"4"
2019-03-01,11,2019,3,"4"
2019-04-01,8,2019,4,"4"
2019-05-01,15,2019,5,"4"
2019-06-01,21,2019,6,"4"
2019-07-01,20,2019,7,"4"
2019-08-01,9,2019,8,"4"
2019-09-01,14,2019,9,"4"
2019-10-01,11,2019,10,"4"
2019-11-01,6,2019,11,"4"
2019-12-01,2,2019,12,"4"
2020-01-01,5,2020,1,"4"
2020-02-01,7,2020,2,"4"
2020-03-01,9,2020,3,"4"
2020-04-01,8,2020,4,"4"
2020-05-01,9,2020,5,"4"
2020-06-01,9,2020,6,"4"
2016-06-01,878,2016,6,"5"
2016-07-01,1389,2016,7,"5"
2016-08-01,1462,2016,8,"5"
2016-09-01,1158,2016,9,"5"
2016-10-01,1154,2016,10,"5"
2016-11-01,1780,2016,11,"5"
2016-12-01,1199,2016,12,"5"
2017-01-01,858,2017,1,"5"
2017-02-01,705,2017,2,"5"
2017-03-01,753,2017,3,"5"
2017-04-01,735,2017,4,"5"
2017-05-01,848,2017,5,"5"
2017-06-01,834,2017,6,"5"
2017-07-01,1159,2017,7,"5"
2017-08-01,1095,2017,8,"5"
2017-09-01,827,2017,9,"5"
2017-10-01,723,2017,10,"5"
2017-11-01,599,2017,11,"5"
2017-12-01,605,2017,12,"5"
2018-01-01,567,2018,1,"5"
2018-02-01,401,2018,2,"5"
2018-03-01,470,2018,3,"5"
2018-04-01,508,2018,4,"5"
2018-05-01,455,2018,5,"5"
2018-06-01,475,2018,6,"5"
2018-07-01,548,2018,7,"5"
2018-08-01,682,2018,8,"5"
2018-09-01,516,2018,9,"5"
2018-10-01,410,2018,10,"5"
2018-11-01,496,2018,11,"5"
2018-12-01,400,2018,12,"5"
2019-01-01,353,2019,1,"5"
2019-02-01,741,2019,2,"5"
2019-03-01,756,2019,3,"5"
2019-04-01,895,2019,4,"5"
2019-05-01,665,2019,5,"5"
2019-06-01,913,2019,6,"5"
2019-07-01,881,2019,7,"5"
2019-08-01,1047,2019,8,"5"
2019-09-01,924,2019,9,"5"
2019-10-01,750,2019,10,"5"
2019-11-01,529,2019,11,"5"
2019-12-01,662,2019,12,"5"
2020-01-01,579,2020,1,"5"
2020-02-01,444,2020,2,"5"
2020-03-01,399,2020,3,"5"
2020-04-01,310,2020,4,"5"
2020-05-01,379,2020,5,"5"
2020-06-01,224,2020,6,"5"
2016-06-01,390,2016,6,"6"
2016-07-01,855,2016,7,"6"
2016-08-01,1031,2016,8,"6"
2016-09-01,996,2016,9,"6"
2016-10-01,891,2016,10,"6"
2016-11-01,784,2016,11,"6"
2016-12-01,1161,2016,12,"6"
2017-01-01,940,2017,1,"6"
2017-02-01,790,2017,2,"6"
2017-03-01,901,2017,3,"6"
2017-04-01,700,2017,4,"6"
2017-05-01,580,2017,5,"6"
2017-06-01,516,2017,6,"6"
2017-07-01,895,2017,7,"6"
2017-08-01,693,2017,8,"6"
2017-09-01,873,2017,9,"6"
2017-10-01,645,2017,10,"6"
2017-11-01,786,2017,11,"6"
2017-12-01,631,2017,12,"6"
2018-01-01,435,2018,1,"6"
2018-02-01,321,2018,2,"6"
2018-03-01,501,2018,3,"6"
2018-04-01,313,2018,4,"6"
2018-05-01,408,2018,5,"6"
2018-06-01,398,2018,6,"6"
2018-07-01,406,2018,7,"6"
2018-08-01,445,2018,8,"6"
2018-09-01,342,2018,9,"6"
