"day_cut","stars","year","day","app"
2019-02-16,5,2019,16,"1"
2019-02-23,1,2019,23,"1"
2019-02-28,4,2019,28,"1"
2019-03-10,5,2019,10,"1"
2019-03-11,4,2019,11,"1"
2019-03-14,1,2019,14,"1"
2019-03-24,2,2019,24,"1"
2019-03-28,5,2019,28,"1"
2019-03-30,5,2019,30,"1"
2019-04-01,2,2019,1,"1"
2019-04-07,5,2019,7,"1"
2019-04-10,5,2019,10,"1"
2019-04-21,1,2019,21,"1"
2019-05-03,5,2019,3,"1"
2019-05-05,5,2019,5,"1"
2019-05-19,5,2019,19,"1"
2019-05-21,3,2019,21,"1"
2019-05-28,3,2019,28,"1"
2019-05-30,5,2019,30,"1"
2019-06-06,5,2019,6,"1"
2019-06-11,1,2019,11,"1"
2019-06-17,5,2019,17,"1"
2019-06-19,2,2019,19,"1"
2019-06-23,4,2019,23,"1"
2019-06-25,5,2019,25,"1"
2019-06-27,1,2019,27,"1"
2019-06-28,5,2019,28,"1"
2019-07-01,5,2019,1,"1"
2019-07-10,5,2019,10,"1"
2019-07-16,5,2019,16,"1"
2019-07-19,5,2019,19,"1"
2019-07-20,4,2019,20,"1"
2019-07-21,4,2019,21,"1"
2019-07-24,5,2019,24,"1"
2019-07-29,5,2019,29,"1"
2019-08-02,5,2019,2,"1"
2019-08-04,3.5,2019,4,"1"
2019-08-05,4,2019,5,"1"
2019-08-06,5,2019,6,"1"
2019-08-10,5,2019,10,"1"
2019-08-12,1,2019,12,"1"
2019-08-22,3,2019,22,"1"
2019-08-23,1,2019,23,"1"
2019-08-27,1,2019,27,"1"
2019-08-28,4,2019,28,"1"
2019-08-29,4,2019,29,"1"
2019-08-31,5,2019,31,"1"
2019-09-03,4,2019,3,"1"
2019-09-19,3,2019,19,"1"
2019-09-22,3,2019,22,"1"
2019-09-23,5,2019,23,"1"
2019-09-24,5,2019,24,"1"
2019-09-30,5,2019,30,"1"
2019-10-02,4,2019,2,"1"
2019-10-16,5,2019,16,"1"
2019-10-17,3.5,2019,17,"1"
2019-10-18,5,2019,18,"1"
2019-10-19,5,2019,19,"1"
2019-10-24,4,2019,24,"1"
2019-10-28,5,2019,28,"1"
2019-11-04,5,2019,4,"1"
2019-11-19,1,2019,19,"1"
2019-11-21,4,2019,21,"1"
2019-11-22,5,2019,22,"1"
2019-12-01,5,2019,1,"1"
2019-12-05,5,2019,5,"1"
2019-12-23,1,2019,23,"1"
2019-12-24,5,2019,24,"1"
2019-12-30,5,2019,30,"1"
2020-01-04,5,2020,4,"1"
2020-01-12,5,2020,12,"1"
2020-01-15,5,2020,15,"1"
2020-02-05,4,2020,5,"1"
2020-02-06,1,2020,6,"1"
2020-02-07,5,2020,7,"1"
2020-02-08,5,2020,8,"1"
2020-02-14,1,2020,14,"1"
2020-02-18,5,2020,18,"1"
2020-02-21,1,2020,21,"1"
2020-02-27,3,2020,27,"1"
2020-03-10,4,2020,10,"1"
2020-03-12,1,2020,12,"1"
2020-03-21,5,2020,21,"1"
2020-04-18,2.5,2020,18,"1"
2020-04-25,1,2020,25,"1"
2020-04-26,5,2020,26,"1"
2020-05-06,5,2020,6,"1"
2020-05-07,1,2020,7,"1"
2020-05-08,1,2020,8,"1"
2020-05-09,1,2020,9,"1"
2020-05-15,1,2020,15,"1"
2020-05-19,3,2020,19,"1"
2020-05-26,4,2020,26,"1"
2020-06-03,4,2020,3,"1"
2020-06-08,5,2020,8,"1"
2020-06-11,4,2020,11,"1"
2016-06-15,2.81818181818182,2016,15,"2"
2016-06-16,3.1,2016,16,"2"
2016-06-17,3.9,2016,17,"2"
2016-06-18,3.16666666666667,2016,18,"2"
2016-06-19,3,2016,19,"2"
2016-06-20,3.77777777777778,2016,20,"2"
2016-06-21,3.6,2016,21,"2"
2016-06-22,4,2016,22,"2"
2016-06-23,4.55555555555556,2016,23,"2"
2016-06-24,3.6,2016,24,"2"
2016-06-25,4,2016,25,"2"
2016-06-26,4.125,2016,26,"2"
2016-06-27,4.375,2016,27,"2"
2016-06-28,4.16666666666667,2016,28,"2"
2016-06-29,3.90909090909091,2016,29,"2"
2016-06-30,5,2016,30,"2"
2016-07-01,3.75,2016,1,"2"
2016-07-02,4.4,2016,2,"2"
2016-07-03,3.5,2016,3,"2"
2016-07-04,3.6,2016,4,"2"
2016-07-05,2.71428571428571,2016,5,"2"
2016-07-06,3.6,2016,6,"2"
2016-07-07,3.42857142857143,2016,7,"2"
2016-07-08,3.54545454545455,2016,8,"2"
2016-07-09,4,2016,9,"2"
2016-07-10,5,2016,10,"2"
2016-07-11,4,2016,11,"2"
2016-07-12,4,2016,12,"2"
2016-07-13,3.14285714285714,2016,13,"2"
2016-07-14,3.5,2016,14,"2"
2016-07-15,3.44444444444444,2016,15,"2"
2016-07-16,2.42857142857143,2016,16,"2"
2016-07-17,3.83333333333333,2016,17,"2"
2016-07-18,3.47058823529412,2016,18,"2"
2016-07-19,3.85714285714286,2016,19,"2"
2016-07-20,3.66666666666667,2016,20,"2"
2016-07-21,4.28571428571429,2016,21,"2"
2016-07-22,4,2016,22,"2"
2016-07-23,3.2,2016,23,"2"
2016-07-24,3.92307692307692,2016,24,"2"
2016-07-25,3.88888888888889,2016,25,"2"
2016-07-26,4.1,2016,26,"2"
2016-07-27,3.71428571428571,2016,27,"2"
2016-07-28,3.45454545454545,2016,28,"2"
2016-07-29,3.6,2016,29,"2"
2016-07-30,2.25,2016,30,"2"
2016-07-31,3.66666666666667,2016,31,"2"
2016-08-01,3,2016,1,"2"
2016-08-02,3.33333333333333,2016,2,"2"
2016-08-03,3.83333333333333,2016,3,"2"
2016-08-04,3.91666666666667,2016,4,"2"
2016-08-05,4.47058823529412,2016,5,"2"
2016-08-06,3.8,2016,6,"2"
2016-08-07,3.6,2016,7,"2"
2016-08-08,3.66666666666667,2016,8,"2"
2016-08-09,3.16666666666667,2016,9,"2"
2016-08-10,3.36842105263158,2016,10,"2"
2016-08-11,3.44444444444444,2016,11,"2"
2016-08-12,3,2016,12,"2"
2016-08-13,4.6,2016,13,"2"
2016-08-14,3.14285714285714,2016,14,"2"
2016-08-15,4.28571428571429,2016,15,"2"
2016-08-16,2.81818181818182,2016,16,"2"
2016-08-17,2.66666666666667,2016,17,"2"
2016-08-18,3.3,2016,18,"2"
2016-08-19,3.4,2016,19,"2"
2016-08-20,3.17647058823529,2016,20,"2"
2016-08-21,3.44444444444444,2016,21,"2"
2016-08-22,2.75,2016,22,"2"
2016-08-23,2.77777777777778,2016,23,"2"
2016-08-24,3.66666666666667,2016,24,"2"
2016-08-25,2.8,2016,25,"2"
2016-08-26,3.91666666666667,2016,26,"2"
2016-08-27,3.36363636363636,2016,27,"2"
2016-08-28,3.77777777777778,2016,28,"2"
2016-08-29,4.66666666666667,2016,29,"2"
2016-08-30,2.42857142857143,2016,30,"2"
2016-08-31,4.3,2016,31,"2"
2016-09-01,4.4,2016,1,"2"
2016-09-02,3.14285714285714,2016,2,"2"
2016-09-03,3,2016,3,"2"
2016-09-04,3.6,2016,4,"2"
2016-09-05,2.88888888888889,2016,5,"2"
2016-09-06,3.77777777777778,2016,6,"2"
2016-09-07,3.75,2016,7,"2"
2016-09-08,3.83333333333333,2016,8,"2"
2016-09-09,3.375,2016,9,"2"
2016-09-10,3.76923076923077,2016,10,"2"
2016-09-11,5,2016,11,"2"
2016-09-12,3.2,2016,12,"2"
2016-09-13,2.4,2016,13,"2"
2016-09-14,3.33333333333333,2016,14,"2"
2016-09-15,3.875,2016,15,"2"
2016-09-16,3.63636363636364,2016,16,"2"
2016-09-17,2.91666666666667,2016,17,"2"
2016-09-18,2.7,2016,18,"2"
2016-09-19,4.25,2016,19,"2"
2016-09-20,3.2,2016,20,"2"
2016-09-21,3.28571428571429,2016,21,"2"
2016-09-22,4.25,2016,22,"2"
2016-09-23,3.3,2016,23,"2"
2016-09-24,3.5,2016,24,"2"
2016-09-25,3.90909090909091,2016,25,"2"
2016-09-26,4.07692307692308,2016,26,"2"
2016-09-27,3.36363636363636,2016,27,"2"
2016-09-28,3.16666666666667,2016,28,"2"
2016-09-29,3.4,2016,29,"2"
2016-09-30,3.85714285714286,2016,30,"2"
2016-10-01,3.85714285714286,2016,1,"2"
2016-10-02,3.5,2016,2,"2"
2016-10-03,1.83333333333333,2016,3,"2"
2016-10-04,4.28571428571429,2016,4,"2"
2016-10-05,2.66666666666667,2016,5,"2"
2016-10-06,3.6,2016,6,"2"
2016-10-07,3.5,2016,7,"2"
2016-10-08,4.58333333333333,2016,8,"2"
2016-10-09,3.1,2016,9,"2"
2016-10-10,3,2016,10,"2"
2016-10-11,3.4,2016,11,"2"
2016-10-12,3.4,2016,12,"2"
2016-10-13,4.22222222222222,2016,13,"2"
2016-10-14,3.8,2016,14,"2"
2016-10-15,2.75,2016,15,"2"
2016-10-16,2.8,2016,16,"2"
2016-10-17,4,2016,17,"2"
2016-10-18,4.4,2016,18,"2"
2016-10-19,3.84615384615385,2016,19,"2"
2016-10-20,2.28571428571429,2016,20,"2"
2016-10-21,4.6,2016,21,"2"
2016-10-22,3,2016,22,"2"
2016-10-23,3.66666666666667,2016,23,"2"
2016-10-24,4.14285714285714,2016,24,"2"
2016-10-25,3.625,2016,25,"2"
2016-10-26,3.88888888888889,2016,26,"2"
2016-10-27,4.8,2016,27,"2"
2016-10-28,4.28571428571429,2016,28,"2"
2016-10-29,3,2016,29,"2"
2016-10-30,3.28571428571429,2016,30,"2"
2016-10-31,3.8,2016,31,"2"
2016-11-01,2.6,2016,1,"2"
2016-11-02,3.66666666666667,2016,2,"2"
2016-11-03,3.77777777777778,2016,3,"2"
2016-11-04,3.2,2016,4,"2"
2016-11-05,2.5,2016,5,"2"
2016-11-06,2.625,2016,6,"2"
2016-11-07,5,2016,7,"2"
2016-11-08,3.25,2016,8,"2"
2016-11-09,3.77777777777778,2016,9,"2"
2016-11-10,3.57142857142857,2016,10,"2"
2016-11-11,4.14285714285714,2016,11,"2"
2016-11-12,2.6,2016,12,"2"
2016-11-13,3.66666666666667,2016,13,"2"
2016-11-14,3.64285714285714,2016,14,"2"
2016-11-15,4.66666666666667,2016,15,"2"
2016-11-16,4,2016,16,"2"
2016-11-17,3.3,2016,17,"2"
2016-11-18,3.57142857142857,2016,18,"2"
2016-11-19,3.54545454545455,2016,19,"2"
2016-11-20,4,2016,20,"2"
2016-11-21,3.09090909090909,2016,21,"2"
2016-11-22,3.54545454545455,2016,22,"2"
2016-11-23,3.85714285714286,2016,23,"2"
2016-11-24,2.57142857142857,2016,24,"2"
2016-11-25,2.625,2016,25,"2"
2016-11-26,3.94117647058824,2016,26,"2"
2016-11-27,4,2016,27,"2"
2016-11-28,3,2016,28,"2"
2016-11-29,3.16666666666667,2016,29,"2"
2016-11-30,3.42857142857143,2016,30,"2"
2016-12-01,3.73333333333333,2016,1,"2"
2016-12-02,3.36363636363636,2016,2,"2"
2016-12-03,3.36363636363636,2016,3,"2"
2016-12-04,3.58333333333333,2016,4,"2"
2016-12-05,3.38461538461538,2016,5,"2"
2016-12-06,3.66666666666667,2016,6,"2"
2016-12-07,3.25,2016,7,"2"
2016-12-08,3.77777777777778,2016,8,"2"
2016-12-09,3.14285714285714,2016,9,"2"
2016-12-10,2.7,2016,10,"2"
2016-12-11,3.36363636363636,2016,11,"2"
2016-12-12,3.66666666666667,2016,12,"2"
2016-12-13,3,2016,13,"2"
2016-12-14,2.85714285714286,2016,14,"2"
2016-12-15,4,2016,15,"2"
2016-12-16,3.85714285714286,2016,16,"2"
2016-12-17,2.3,2016,17,"2"
2016-12-18,4.33333333333333,2016,18,"2"
2016-12-19,2,2016,19,"2"
2016-12-20,3,2016,20,"2"
2016-12-21,3.42857142857143,2016,21,"2"
2016-12-22,3.36363636363636,2016,22,"2"
2016-12-23,3.77777777777778,2016,23,"2"
2016-12-24,2.5,2016,24,"2"
2016-12-25,3.875,2016,25,"2"
2016-12-26,3.5,2016,26,"2"
2016-12-27,3.83333333333333,2016,27,"2"
2016-12-28,2.875,2016,28,"2"
2016-12-29,3.28571428571429,2016,29,"2"
2016-12-30,4.77777777777778,2016,30,"2"
2016-12-31,2.2,2016,31,"2"
2017-01-01,3.125,2017,1,"2"
2017-01-02,3.75,2017,2,"2"
2017-01-03,4.33333333333333,2017,3,"2"
2017-01-04,3.33333333333333,2017,4,"2"
2017-01-05,3.16666666666667,2017,5,"2"
