"week_cut","stars","year","week","app"
2016-09-26,3.60307311735883,2016,39,"2"
2016-10-03,3.36700680272109,2016,40,"2"
2016-10-10,3.33888888888889,2016,41,"2"
2016-10-17,3.68550497121926,2016,42,"2"
2016-10-24,3.86116780045351,2016,43,"2"
2016-10-31,3.16706349206349,2016,44,"2"
2016-11-07,3.71553287981859,2016,45,"2"
2016-11-14,3.81805813234385,2016,46,"2"
2016-11-21,3.37587307650333,2016,47,"2"
2016-11-28,3.37702535559678,2016,48,"2"
2016-12-05,3.32650761936476,2016,49,"2"
2016-12-12,3.43061224489796,2016,50,"2"
2016-12-19,3.13499793856937,2016,51,"2"
2016-12-26,3.37097505668934,2016,52,"2"
2017-01-02,3.49404761904762,2017,1,"2"
2017-01-09,3.84353741496599,2017,2,"2"
2017-01-16,3.8452380952381,2017,3,"2"
2017-01-23,3.21731601731602,2017,4,"2"
2017-01-30,2.82380952380952,2017,5,"2"
2017-02-06,2.77857142857143,2017,6,"2"
2017-02-13,3.25646258503401,2017,7,"2"
2017-02-20,3.04308390022676,2017,8,"2"
2017-02-27,3.43412698412698,2017,9,"2"
2017-03-06,2.41836734693878,2017,10,"2"
2017-03-13,3.25272108843537,2017,11,"2"
2017-03-20,2.81785714285714,2017,12,"2"
2017-03-27,3.20702947845805,2017,13,"2"
2017-04-03,3.31785714285714,2017,14,"2"
2017-04-10,3.1484126984127,2017,15,"2"
2017-04-17,3.10550401978973,2017,16,"2"
2017-04-24,3.45907029478458,2017,17,"2"
2017-05-01,2.82142857142857,2017,18,"2"
2017-05-08,3.40516309087738,2017,19,"2"
2017-05-15,3.6921768707483,2017,20,"2"
2017-05-22,3.54365079365079,2017,21,"2"
2017-05-29,3.38622448979592,2017,22,"2"
2017-06-05,3.37857142857143,2017,23,"2"
2017-06-12,3.71904761904762,2017,24,"2"
2017-06-19,3.52579365079365,2017,25,"2"
2017-06-26,3.1,2017,26,"2"
2017-07-03,3.79047619047619,2017,27,"2"
2017-07-10,4.0328798185941,2017,28,"2"
2017-07-17,3.74353741496599,2017,29,"2"
2017-07-24,3.92891156462585,2017,30,"2"
2017-07-31,3.55300453514739,2017,31,"2"
2017-08-07,3.42369614512472,2017,32,"2"
2017-08-14,3.60753968253968,2017,33,"2"
2017-08-21,3.66904761904762,2017,34,"2"
2017-08-28,3.4687074829932,2017,35,"2"
2017-09-04,3.40034013605442,2017,36,"2"
2017-09-11,3.87074829931973,2017,37,"2"
2017-09-18,3.21900123685838,2017,38,"2"
2017-09-25,3.87290249433107,2017,39,"2"
2017-10-02,3.75925925925926,2017,40,"2"
2017-10-09,3.32329931972789,2017,41,"2"
2017-10-16,4.09047619047619,2017,42,"2"
2017-10-23,3.36734693877551,2017,43,"2"
2017-10-30,3.6202947845805,2017,44,"2"
2017-11-06,3.45510204081633,2017,45,"2"
2017-11-13,3.4234693877551,2017,46,"2"
2017-11-20,2.43174603174603,2017,47,"2"
2017-11-27,2.96258503401361,2017,48,"2"
2017-12-04,3.67857142857143,2017,49,"2"
2017-12-11,3.31292517006803,2017,50,"2"
2017-12-18,3.77448979591837,2017,51,"2"
2017-12-25,4.00566893424036,2017,52,"2"
2018-01-01,3.62380952380952,2018,1,"2"
2018-01-08,3.72142857142857,2018,2,"2"
2018-01-15,3.33333333333333,2018,3,"2"
2018-01-22,3.61706349206349,2018,4,"2"
2018-01-29,3.67857142857143,2018,5,"2"
2018-02-05,3.375,2018,6,"2"
2018-02-12,3.82777777777778,2018,7,"2"
2018-02-19,2.55555555555556,2018,8,"2"
2018-02-26,3.175,2018,9,"2"
2018-03-05,3.76190476190476,2018,10,"2"
2018-03-12,3.73214285714286,2018,11,"2"
2018-03-19,3.29285714285714,2018,12,"2"
2018-03-26,3.72380952380952,2018,13,"2"
2018-04-02,3.4047619047619,2018,14,"2"
2018-04-09,3.4547619047619,2018,15,"2"
2018-04-16,3.79251700680272,2018,16,"2"
2018-04-23,3.48398268398268,2018,17,"2"
2018-04-30,3.99166666666667,2018,18,"2"
2018-05-07,3.28571428571429,2018,19,"2"
2018-05-14,3.02380952380952,2018,20,"2"
2018-05-21,2.85277777777778,2018,21,"2"
2018-05-28,3.19387755102041,2018,22,"2"
2018-06-04,2.76785714285714,2018,23,"2"
2018-06-11,4.29761904761905,2018,24,"2"
2018-06-18,3.3812925170068,2018,25,"2"
2018-06-25,2.73061224489796,2018,26,"2"
2018-07-02,2.28231292517007,2018,27,"2"
2018-07-09,3.05272108843537,2018,28,"2"
2018-07-16,3.05793650793651,2018,29,"2"
2018-07-23,2.71428571428571,2018,30,"2"
2018-07-30,2.8047619047619,2018,31,"2"
2018-08-06,2.54416099773243,2018,32,"2"
2018-08-13,3.23979591836735,2018,33,"2"
2018-08-20,3.16558441558442,2018,34,"2"
2018-08-27,3.42857142857143,2018,35,"2"
2018-09-03,3.37687074829932,2018,36,"2"
2018-09-10,3.86621315192744,2018,37,"2"
2018-09-17,3.93809523809524,2018,38,"2"
2018-09-24,3.56428571428571,2018,39,"2"
2018-10-01,3.50992063492063,2018,40,"2"
2018-10-08,4.07460317460317,2018,41,"2"
2018-10-15,3.25714285714286,2018,42,"2"
2018-10-22,3.93707482993197,2018,43,"2"
2018-10-29,3.54166666666667,2018,44,"2"
2018-11-05,4.06666666666667,2018,45,"2"
2018-11-12,3.78095238095238,2018,46,"2"
2018-11-19,3.66921768707483,2018,47,"2"
2018-11-26,3.50034013605442,2018,48,"2"
2018-12-03,3.51190476190476,2018,49,"2"
2018-12-10,4.53571428571429,2018,50,"2"
2018-12-17,4.13095238095238,2018,51,"2"
2018-12-24,2.62261904761905,2018,52,"2"
2018-12-31,3.2,2018,53,"2"
2019-01-07,3.27482993197279,2019,1,"2"
2019-01-14,4.48809523809524,2019,2,"2"
2019-01-21,3.43537414965986,2019,3,"2"
2019-01-28,3.32857142857143,2019,4,"2"
2019-02-04,4.3812925170068,2019,5,"2"
2019-02-11,3.4202380952381,2019,6,"2"
2019-02-18,3.69573283858998,2019,7,"2"
2019-02-25,3.56037414965986,2019,8,"2"
2019-03-04,3.58095238095238,2019,9,"2"
2019-03-11,3.70294784580499,2019,10,"2"
2019-03-18,4.15442176870748,2019,11,"2"
2019-03-25,3.81024531024531,2019,12,"2"
2019-04-01,4.08571428571429,2019,13,"2"
2019-04-08,3.98367346938775,2019,14,"2"
2019-04-15,3.88503401360544,2019,15,"2"
2019-04-22,3.83877551020408,2019,16,"2"
2019-04-29,2.58520408163265,2019,17,"2"
2019-05-06,2.84476911976912,2019,18,"2"
2019-05-13,3.54350649350649,2019,19,"2"
2019-05-20,3.6484693877551,2019,20,"2"
2019-05-27,3.4,2019,21,"2"
2019-06-03,4.02380952380952,2019,22,"2"
2019-06-10,3.19472789115646,2019,23,"2"
2019-06-17,3.41904761904762,2019,24,"2"
2019-06-24,3.82256235827664,2019,25,"2"
2019-07-01,3.95015698587127,2019,26,"2"
2019-07-08,3.34829931972789,2019,27,"2"
2019-07-15,3.36547619047619,2019,28,"2"
2019-07-22,4.1047619047619,2019,29,"2"
2019-07-29,3.88650793650794,2019,30,"2"
2019-08-05,4.07467532467532,2019,31,"2"
2019-08-12,4.03636363636364,2019,32,"2"
2019-08-19,3.46941391941392,2019,33,"2"
2019-08-26,3.68571428571429,2019,34,"2"
2019-09-02,3.84024943310658,2019,35,"2"
2019-09-09,4.09523809523809,2019,36,"2"
2019-09-16,3.73492063492063,2019,37,"2"
2019-09-23,3.875,2019,38,"2"
2019-09-30,3.99761904761905,2019,39,"2"
2019-10-07,3.8,2019,40,"2"
2019-10-14,3.41666666666667,2019,41,"2"
2019-10-21,3.60592463092463,2019,42,"2"
2019-10-28,3.70521541950113,2019,43,"2"
2019-11-04,3.78843537414966,2019,44,"2"
2019-11-11,3.11904761904762,2019,45,"2"
2019-11-18,3.44331065759637,2019,46,"2"
2019-11-25,3.73095238095238,2019,47,"2"
2019-12-02,3.62380952380952,2019,48,"2"
2019-12-09,3.9515306122449,2019,49,"2"
2019-12-16,3.74206349206349,2019,50,"2"
2019-12-23,3.68968253968254,2019,51,"2"
2019-12-30,4.09126984126984,2019,52,"2"
2020-01-06,4.15238095238095,2020,1,"2"
2020-01-13,2.71904761904762,2020,2,"2"
2020-01-20,3.00975056689342,2020,3,"2"
2020-01-27,3.62244897959184,2020,4,"2"
2020-02-03,3.27142857142857,2020,5,"2"
2020-02-10,2.81927437641723,2020,6,"2"
2020-02-17,3.14047619047619,2020,7,"2"
2020-02-24,3.53095238095238,2020,8,"2"
2020-03-02,3.17131519274376,2020,9,"2"
2020-03-09,3.45238095238095,2020,10,"2"
2020-03-16,3.1547619047619,2020,11,"2"
2020-03-23,3.77063492063492,2020,12,"2"
2020-03-30,3.15,2020,13,"2"
2020-04-06,3.25,2020,14,"2"
2020-04-13,3.6547619047619,2020,15,"2"
2020-04-20,3.43571428571429,2020,16,"2"
2020-04-27,3.74166666666667,2020,17,"2"
2020-05-04,3.65952380952381,2020,18,"2"
2020-05-11,3.42037037037037,2020,19,"2"
2020-05-18,3.16333333333333,2020,20,"2"
2020-05-25,3.12244897959184,2020,21,"2"
2020-06-01,3.32426303854875,2020,22,"2"
2020-06-08,3.36111111111111,2020,23,"2"
2020-06-15,2.7,2020,24,"2"
2016-06-13,3.91666666666667,2016,24,"3"
2016-06-20,4.03571428571429,2016,25,"3"
2016-06-27,4.23333333333333,2016,26,"3"
2016-07-04,3.19047619047619,2016,27,"3"
2016-07-11,3.88095238095238,2016,28,"3"
2016-07-18,3.5,2016,29,"3"
2016-07-25,4.11904761904762,2016,30,"3"
2016-08-01,3.9952380952381,2016,31,"3"
2016-08-08,3.58333333333333,2016,32,"3"
2016-08-15,3.9,2016,33,"3"
2016-08-22,4.17857142857143,2016,34,"3"
2016-08-29,3.64285714285714,2016,35,"3"
2016-09-05,4.4212962962963,2016,36,"3"
2016-09-12,3.75,2016,37,"3"
2016-09-19,3.68809523809524,2016,38,"3"
2016-09-26,3.22380952380952,2016,39,"3"
2016-10-03,3.83333333333333,2016,40,"3"
2016-10-10,3.89444444444444,2016,41,"3"
2016-10-17,3.68055555555556,2016,42,"3"
2016-10-24,3.61904761904762,2016,43,"3"
2016-10-31,4.20833333333333,2016,44,"3"
2016-11-07,3.625,2016,45,"3"
2016-11-14,4.35555555555556,2016,46,"3"
2016-11-21,2.43333333333333,2016,47,"3"
2016-11-28,4.15476190476191,2016,48,"3"
2016-12-05,4.67857142857143,2016,49,"3"
2016-12-12,4.36111111111111,2016,50,"3"
2016-12-19,4.22448979591837,2016,51,"3"
2016-12-26,3.79285714285714,2016,52,"3"
2017-01-02,4.04761904761905,2017,1,"3"
2017-01-09,3.58421052631579,2017,2,"3"
2017-01-16,3.20549886621315,2017,3,"3"
2017-01-23,3.21841372912801,2017,4,"3"
2017-01-30,3.31550304332259,2017,5,"3"
2017-02-06,3.71904761904762,2017,6,"3"
2017-02-13,3.44041950113379,2017,7,"3"
2017-02-20,3.61224489795918,2017,8,"3"
2017-02-27,4.23809523809524,2017,9,"3"
2017-03-06,2.54285714285714,2017,10,"3"
2017-03-13,4.12755102040816,2017,11,"3"
2017-03-20,4.11054421768707,2017,12,"3"
2017-03-27,3.59722222222222,2017,13,"3"
2017-04-03,3.55952380952381,2017,14,"3"
2017-04-10,3.50238095238095,2017,15,"3"
2017-04-17,3.7547619047619,2017,16,"3"
2017-04-24,3.89285714285714,2017,17,"3"
2017-05-01,3.16666666666667,2017,18,"3"
2017-05-08,3.67777777777778,2017,19,"3"
2017-05-15,4.16468253968254,2017,20,"3"
2017-05-22,3.83333333333333,2017,21,"3"
2017-05-29,3.83333333333333,2017,22,"3"
2017-06-05,3.48055555555556,2017,23,"3"
2017-06-12,3.23571428571429,2017,24,"3"
2017-06-19,3.7625,2017,25,"3"
2017-06-26,4.31111111111111,2017,26,"3"
2017-07-03,3.33333333333333,2017,27,"3"
2017-07-10,4.17857142857143,2017,28,"3"
2017-07-17,3.02380952380952,2017,29,"3"
2017-07-24,3.68571428571429,2017,30,"3"
2017-07-31,3.01547619047619,2017,31,"3"
2017-08-07,3.22222222222222,2017,32,"3"
2017-08-14,2.97891156462585,2017,33,"3"
2017-08-21,3.89761904761905,2017,34,"3"
2017-08-28,3.17380952380952,2017,35,"3"
2017-09-04,3.01666666666667,2017,36,"3"
