"week_cut","sentiment","year","week","app"
2017-04-03,0.25,2017,14,"3"
2017-04-10,0.28,2017,15,"3"
2017-04-17,0.17,2017,16,"3"
2017-04-24,0.2,2017,17,"3"
2017-05-01,0.48,2017,18,"3"
2017-05-08,0.23,2017,19,"3"
2017-05-15,0.29,2017,20,"3"
2017-05-22,0.25,2017,21,"3"
2017-05-29,0.3,2017,22,"3"
2017-06-05,0.19,2017,23,"3"
2017-06-12,0.18,2017,24,"3"
2017-06-19,0.06,2017,25,"3"
2017-06-26,0.35,2017,26,"3"
2017-07-03,0.19,2017,27,"3"
2017-07-10,0.4,2017,28,"3"
2017-07-17,0,2017,29,"3"
2017-07-24,0.24,2017,30,"3"
2017-07-31,0,2017,31,"3"
2017-08-07,0.32,2017,32,"3"
2017-08-14,0.14,2017,33,"3"
2017-08-21,0.26,2017,34,"3"
2017-08-28,0.14,2017,35,"3"
2017-09-04,0.04,2017,36,"3"
2017-09-11,0.13,2017,37,"3"
2017-09-18,0.25,2017,38,"3"
2017-09-25,0.14,2017,39,"3"
2017-10-02,0.04,2017,40,"3"
2017-10-09,0.28,2017,41,"3"
2017-10-16,0.5,2017,42,"3"
2017-10-23,0.2,2017,43,"3"
2017-10-30,0.28,2017,44,"3"
2017-11-06,0.26,2017,45,"3"
2017-11-13,0.05,2017,46,"3"
2017-11-20,0.14,2017,47,"3"
2017-11-27,0,2017,48,"3"
2017-12-04,0.36,2017,49,"3"
2017-12-11,0.22,2017,50,"3"
2017-12-18,-0.14,2017,51,"3"
2017-12-25,0.03,2017,52,"3"
2018-01-01,0.22,2018,1,"3"
2018-01-08,0.29,2018,2,"3"
2018-01-15,-0.04,2018,3,"3"
2018-01-22,0.23,2018,4,"3"
2018-01-29,0.31,2018,5,"3"
2018-02-05,0.2,2018,6,"3"
2018-02-12,0.23,2018,7,"3"
2018-02-19,0.19,2018,8,"3"
2018-02-26,0.15,2018,9,"3"
2018-03-05,0.13,2018,10,"3"
2018-03-12,0.39,2018,11,"3"
2018-03-19,0.21,2018,12,"3"
2018-03-26,-0.02,2018,13,"3"
2018-04-02,0.05,2018,14,"3"
2018-04-09,0.19,2018,15,"3"
2018-04-16,0.27,2018,16,"3"
2018-04-23,0.28,2018,17,"3"
2018-04-30,0.24,2018,18,"3"
2018-05-07,0.16,2018,19,"3"
2018-05-14,0.06,2018,20,"3"
2018-05-21,0.23,2018,21,"3"
2018-05-28,0.12,2018,22,"3"
2018-06-04,0.07,2018,23,"3"
2018-06-11,0.16,2018,24,"3"
2018-06-18,0.2,2018,25,"3"
2018-06-25,0.09,2018,26,"3"
2018-07-02,0.38,2018,27,"3"
2018-07-09,0.14,2018,28,"3"
2018-07-16,0.1,2018,29,"3"
2018-07-23,0.25,2018,30,"3"
2018-07-30,0.17,2018,31,"3"
2018-08-06,0.26,2018,32,"3"
2018-08-13,0.05,2018,33,"3"
2018-08-20,0.24,2018,34,"3"
2018-08-27,0.22,2018,35,"3"
2018-09-03,0.31,2018,36,"3"
2018-09-10,0.48,2018,37,"3"
2018-09-17,-0.02,2018,38,"3"
2018-09-24,0.05,2018,39,"3"
2018-10-01,0.12,2018,40,"3"
2018-10-08,0.17,2018,41,"3"
2018-10-15,0.34,2018,42,"3"
2018-10-22,0.33,2018,43,"3"
2018-10-29,0.15,2018,44,"3"
2018-11-05,0.35,2018,45,"3"
2018-11-12,0.22,2018,46,"3"
2018-11-19,0.28,2018,47,"3"
2018-11-26,0.05,2018,48,"3"
2018-12-03,0.14,2018,49,"3"
2018-12-10,0.05,2018,50,"3"
2018-12-17,0.21,2018,51,"3"
2018-12-24,0.43,2018,52,"3"
2018-12-31,0.17,2018,53,"3"
2019-01-07,0.06,2019,1,"3"
2019-01-14,0.04,2019,2,"3"
2019-01-21,0.31,2019,3,"3"
2019-01-28,0.12,2019,4,"3"
2019-02-04,0.35,2019,5,"3"
2019-02-11,0.13,2019,6,"3"
2019-02-18,0.17,2019,7,"3"
2019-02-25,0.16,2019,8,"3"
2019-03-04,0.2,2019,9,"3"
2019-03-11,0.21,2019,10,"3"
2019-03-18,0.13,2019,11,"3"
2019-03-25,0.28,2019,12,"3"
2019-04-01,0.1,2019,13,"3"
2019-04-08,0.11,2019,14,"3"
2019-04-15,0.21,2019,15,"3"
2019-04-22,0.22,2019,16,"3"
2019-04-29,0.11,2019,17,"3"
2019-05-06,0.03,2019,18,"3"
2019-05-13,0.2,2019,19,"3"
2019-05-20,0.28,2019,20,"3"
2019-05-27,0.23,2019,21,"3"
2019-06-03,0.12,2019,22,"3"
2019-06-10,-0.03,2019,23,"3"
2019-06-17,0.18,2019,24,"3"
2019-06-24,0.02,2019,25,"3"
2019-07-01,0.21,2019,26,"3"
2019-07-08,0.13,2019,27,"3"
2019-07-15,0.12,2019,28,"3"
2019-07-22,0.2,2019,29,"3"
2019-07-29,0.24,2019,30,"3"
2019-08-05,0.17,2019,31,"3"
2019-08-12,0.18,2019,32,"3"
2019-08-19,0.16,2019,33,"3"
2019-08-26,0.08,2019,34,"3"
2019-09-02,0,2019,35,"3"
2019-09-09,0.26,2019,36,"3"
2019-09-16,0.14,2019,37,"3"
2019-09-23,0.24,2019,38,"3"
2019-09-30,0.15,2019,39,"3"
2019-10-07,0.2,2019,40,"3"
2019-10-14,0.42,2019,41,"3"
2019-10-21,0.17,2019,42,"3"
2019-10-28,0.18,2019,43,"3"
2019-11-04,0.05,2019,44,"3"
2019-11-11,0.15,2019,45,"3"
2019-11-18,0.07,2019,46,"3"
2019-11-25,0.17,2019,47,"3"
2019-12-02,0.22,2019,48,"3"
2019-12-09,0.23,2019,49,"3"
2019-12-16,0.07,2019,50,"3"
2019-12-23,0.11,2019,51,"3"
2019-12-30,0.3,2019,52,"3"
2020-01-06,0.21,2020,1,"3"
2020-01-13,0.15,2020,2,"3"
2020-01-20,0.18,2020,3,"3"
2020-01-27,0.2,2020,4,"3"
2020-02-03,0.21,2020,5,"3"
2020-02-10,0.17,2020,6,"3"
2020-02-17,0.09,2020,7,"3"
2020-02-24,0.11,2020,8,"3"
2020-03-02,0.18,2020,9,"3"
2020-03-09,0.01,2020,10,"3"
2020-03-16,0.16,2020,11,"3"
2020-03-23,0.17,2020,12,"3"
2020-03-30,0.22,2020,13,"3"
2020-04-06,0.31,2020,14,"3"
2020-04-13,0.29,2020,15,"3"
2020-04-20,0.09,2020,16,"3"
2020-04-27,0.11,2020,17,"3"
2020-05-04,0.24,2020,18,"3"
2020-05-11,0.12,2020,19,"3"
2020-05-18,0.15,2020,20,"3"
2020-05-25,0.25,2020,21,"3"
2020-06-01,0.14,2020,22,"3"
2020-06-08,0.12,2020,23,"3"
2020-06-15,0.14,2020,24,"3"
2016-06-13,0.07,2016,24,"4"
2016-06-20,0.07,2016,25,"4"
2016-06-27,0.18,2016,26,"4"
2016-07-04,0.38,2016,27,"4"
2016-07-11,0.14,2016,28,"4"
2016-07-18,-0.02,2016,29,"4"
2016-07-25,0.01,2016,30,"4"
2016-08-01,0.28,2016,31,"4"
2016-08-08,0.37,2016,32,"4"
2016-08-15,0.15,2016,33,"4"
2016-08-22,-0.02,2016,34,"4"
2016-08-29,0.1,2016,35,"4"
2016-09-05,0.03,2016,36,"4"
2016-09-12,0.34,2016,37,"4"
2016-09-19,0.24,2016,38,"4"
2016-09-26,-0.03,2016,39,"4"
2016-10-03,0.22,2016,40,"4"
2016-10-10,0.35,2016,41,"4"
2016-10-17,0.48,2016,42,"4"
2016-10-24,0.31,2016,43,"4"
2016-10-31,0.13,2016,44,"4"
2016-11-07,-0.01,2016,45,"4"
2016-11-14,0.32,2016,46,"4"
2016-11-21,0.2,2016,47,"4"
2016-11-28,0,2016,48,"4"
2016-12-05,-0.04,2016,49,"4"
2016-12-12,0.07,2016,50,"4"
2016-12-19,0.26,2016,51,"4"
2016-12-26,0.21,2016,52,"4"
2017-01-02,0.26,2017,1,"4"
2017-01-09,0.24,2017,2,"4"
2017-01-16,0.24,2017,3,"4"
